,name,party1,party,term_of_office,prop_rep,where,loss,when,fta
250,김학송,,한 새,3,0,경상남도,,18대,0
251,이군현,,한 새,2,0,경상남도,,18대,0
252,강기갑,,민 통진,2,0,경상남도,,18대,29
253,김정권,,한 새,2,0,경상남도,,18대,3
254,최철국,,통 민,2,0,경상남도,1.0,18대,0
255,김태호,,한 새,1,0,경상남도,,18대,3
256,조해진,,한 새,1,0,경상남도,,18대,1
257,윤영,,한 새,1,0,경상남도,,18대,0
258,허범도,,한,1,0,경상남도,1.0,18대,3
259,박희태,,한 새,6,0,경상남도,,18대,0
260,조진래,,한 새,1,0,경상남도,,18대,20
261,여상규,,한 새,1,0,경상남도,,18대,30
262,신성범,,한 새,1,0,경상남도,,18대,12
263,강창일,,통 민,2,0,제주특별자치도,,18대,7
264,김우남,,통 민,2,0,제주특별자치도,,18대,46
265,김재윤,,통 민,2,0,제주특별자치도,,18대,8
266,강명순,sn18,한 새,1,1,비례대표,,18대,1
267,임두성,,한 새,1,1,비례대표,1.0,18대,0
268,배은희,,한 새,1,1,비례대표,,18대,0
269,강성천,,한 새,1,1,비례대표,,18대,0
270,이정선,,한 새,1,1,비례대표,,18대,0
271,김장수,,한 새,1,1,비례대표,,18대,0
272,김소남,,한 새,1,1,비례대표,,18대,0
273,정진석,,한 새,3,1,비례대표,1.0,18대,9
274,이은재,,한 새,1,1,비례대표,,18대,2
275,이달곤,,한 새,1,1,비례대표,1.0,18대,1
276,김금래,,한 새,1,1,비례대표,1.0,18대,0
277,나성린,,한 새,1,1,비례대표,,18대,5
278,조윤선,,한 새,1,1,비례대표,,18대,0
279,조문환,,한 새,1,1,비례대표,,18대,1
280,손숙미,,한 새,1,1,비례대표,,18대,2
281,원희목,,한 새,1,1,비례대표,,18대,9
282,이애주,,한 새,1,1,비례대표,,18대,2
283,이추닉,,한 새,1,1,비례대표,,18대,0
284,정옥임,,한 새,1,1,비례대표,,18대,102
285,임동규,,한 새,1,1,비례대표,,18대,2
286,김옥이,,한 새,1,1,비례대표,,18대,0
287,이정현,,한 새,1,1,비례대표,,18대,0
288,이두아,,한 새,1,1,비례대표,,18대,0
289,김성동,,한 새,1,1,비례대표,,18대,0
290,최경희,,한 새,1,1,비례대표,,18대,0
291,이영애,,한 새,1,1,비례대표,,18대,7
292,이성남,mj18,통 민,1,1,비례대표,,18대,1
293,박은수,,통 민,1,1,비례대표,,18대,7
294,최영희,,통 민,1,1,비례대표,,18대,9
295,송민순,,통 민,1,1,비례대표,,18대,109
296,전혜숙,,통 민,1,1,비례대표,,18대,4
297,정국교,,통 민,1,1,비례대표,1.0,18대,0
298,전현희,,통 민,1,1,비례대표,,18대,4
299,서종표,,통 민,1,1,비례대표,,18대,0
300,신낙균,,통 민,2,1,비례대표,,18대,33
301,최문순,,통 민,1,1,비례대표,,18대,1
302,김상희,,통 민,1,1,비례대표,,18대,2
303,김충조,,통 민,5,1,비례대표,1.0,18대,0
304,박선숙,,통 민,1,1,비례대표,,18대,2
305,안규백,,통 민,1,1,비례대표,,18대,1
306,김유정,,통 민,1,1,비례대표,,18대,1
307,박홍수,,통 민,1,1,비례대표,1.0,18대,0
308,김진애,,통 민,1,1,비례대표,,18대,0
309,김학재,,통 민,1,1,비례대표,,18대,1
310,이영애,ss18,자,1,1,비례대표,,18대,7
311,조순형,,자,7,1,비례대표,,18대,4
312,박선영,,자,1,1,비례대표,,18대,83
313,김용구,,자,1,1,비례대표,,18대,0
314,양정례,sn18,친 새,1,1,비례대표,1.0,18대,0
315,서청원,sn18,친 새,6,1,비례대표,1.0,18대,0
316,김노식,,친 새,2,1,비례대표,1.0,18대,0
317,송영선,,친 새,2,1,비례대표,,18대,19
318,김을동,,친 새,1,1,비례대표,,18대,3
319,정하균,,친 새,1,1,비례대표,,18대,3
320,정영희,,친 새,1,1,비례대표,,18대,18
321,노철래,,친 새,1,1,비례대표,,18대,2
322,김혜성,,친 새,1,1,비례대표,,18대,1
323,윤상일,,친 새,1,1,비례대표,,18대,0
324,김정,,친 새,1,1,비례대표,,18대,3
325,곽정숙,ss18,민 통진,1,1,비례대표,,18대,8
326,홍희덕,ss18,민 통진,1,1,비례대표,,18대,5
327,이정희,ss18,민 통진,1,1,비례대표,,18대,2
328,이용경,mu18,창 무,1,1,비례대표,,18대,1
329,이한정,mu18,창 무,1,1,비례대표,1.0,18대,0
330,유원일,mu18,창 무,1,1,비례대표,1.0,18대,9
331,선경식,mu18,창 무,1,1,비례대표,,18대,0
